X,Y,OBJECTID,RIVER,SITENAME,SITE,TIM_CHCH,TELEMETERED,LAST_SAMPLE,LAST_HOUR,RAIN_TODAY,RAIN_1_DAY_AGO,RAIN_2_DAYS_AGO,RAIN_3_DAYS_AGO,RAIN_4_DAYS_AGO,RAIN_5_DAYS_AGO,RAIN_6_DAYS_AGO,RAIN_7_DAYS_AGO,TOTAL_RAINFALL,ALTITUDE,NZMGX,NZMGY,NZMS260,NZTMX,NZTMY,NZTOPO50,SITENUMBER
1395743,5097203,5534,Grays at Grays Hills,Grays Hills,Grays at Grays Hills,C,T,2026/04/09 00:00:00+00,0,0,1,1,0,6.5,20,0,0,28.5,525,2305700,5658839,I38:05700-58839,1395743,5097203,BZ16:9574-9720,402401
1427027,5032266,5547,Waihuna Stream at Ikawai,Ikawai,Waihuna Stream at Ikawai,C,T,2026/04/09 00:00:00+00,0,0,0.5,1.5,0,1.5,9,0,0,12.5,302,2336944,5593892,J40:36944-93892,1427027,5032266,CB18:2702-3226,408802
1426906,5137931,5554,North Opuha at Clayton Station,Clayton Station,North Opuha at Clayton Station,C,T,2026/04/09 00:00:00+00,0,0,0.5,0,1,5.5,11.5,0,0,18.5,620,2336872,5699553,J37:36872-99553,1426906,5137931,BY18:2690-3793,308801
1361856,5101885,5562,Frasers Stream at Ben Ohau,Ben Ohau,Frasers Stream at Ben Ohau,C,T,2026/04/09 00:00:00+00,0,0,4,0.5,0.5,5,26,0,0,36,607,2271824,5663532,H38:71824-63532,1361856,5101885,BZ15:6185-0188,401002
1453315,5177808,5563,Gentleman Smith Stream at Hakatare,Hakatare,Gentleman Smith Stream at Hakatare,C,T,2026/04/09 00:00:00+00,0,0,2,1.5,0,2.5,2.5,0,0,8.5,656,2363286,5739426,J36:63286-39426,1453315,5177808,BX19:5331-7780,315101
1572778,5172656,5565,Rapaki at Summit Road,Rapakai Summit Rd,Rapaki at Summit Road,C,T,2026/04/09 00:30:00+00,0,0,1,2.5,0,0,0,0,0,3.5,420,2482778,5734264,M36:82778-34264,1572778,5172656,BX24:7277-7265,325629
1655985.195,5309030.042,5576,Middle Creek at Middle Creek SH1,Middle Creek SH1,Middle Creek at Middle Creek SH1,C,T,2026/04/09 00:30:00+00,0,0,0.5,0,3,0.5,0,0,0,4,5,2566006,5870698,O31:66006-70698,1655985,5309030,BT27:5598-0903,233607
1655985.195,5309030.042,5577,Middle Creek at Middle Creek SH1,Middle Creek SH1,Middle Creek at Middle Creek SH1,C,T,2026/04/09 00:30:00+00,0,0,0.5,0,3,0.5,0,0,0,4,5,2566006,5870698,O31:66006-70698,1655985,5309030,BT27:5598-0903,233607
1422045,5191620,5578,Clyde River at Clyde,Clyde,Clyde River at Clyde,C,T,2026/04/09 00:00:00+00,0,0,20.5,12.5,0.5,11,23.5,0,0,68,1020,2332016,5753240,J35:32016-53240,1422045,5191620,BW18:2204-9162,304701
1422045,5191620,5579,Clyde River at Clyde,Clyde,Clyde River at Clyde,C,T,2026/04/09 00:00:00+00,0,0,20.5,12.5,0.5,11,23.5,0,0,68,1020,2332016,5753240,J35:32016-53240,1422045,5191620,BW18:2204-9162,304701
